rot	tilt	psi
-163.9509	73.5093	62.1476
-45.1951	93.1327	-127.6347
146.5893	46.4119	-126.3459
178.6163	101.9753	-47.8748
178.3343	96.9461	130.5351
-35.5732	111.6042	-115.601
102.0801	49.7147	-164.3427
-112.376	21.9328	172.7539
-146.1418	56.1731	-133.8522
-43.6236	91.8099	-68.824
-55.3575	56.6074	173.4983
164.3313	33.1101	-134.9376
-45.3264	110.8826	-120.7674
-45.3264	110.8826	-120.7674
136.0036	79.9776	18.0862
-36.5783	18.4353	-41.2803
116.5399	114.3495	178.3656
123.528	119.7033	-0.9586
-62.3543	73.3868	14.3606
-71.6005	119.5781	-152.8136
-100.5031	37.3949	-161.9073
-98.9714	41.6871	13.4709
-40.4569	148.9935	82.6794
-40.9085	136.7995	-52.0528
-122.0611	153.9084	75.9073
113.3304	118.6051	17.6968
19.2613	13.3558	55.5205
-97.8476	22.4351	-80.0119
87.4075	105.6737	120.7553
51.4317	16.8033	71.7617
58.5123	101.5207	-44.3929
-31.0237	135.8762	-5.6702
98.3891	38.0268	146.7641
46.038	110.5358	-30.1103
58.4901	81.4183	34.122
-39.9752	102.4528	26.5447
-120.221	105.4135	-84.8979
-71.3178	123.6105	-36.2806
-72.1133	115.5815	143.9695
70.3346	94.5933	153.1501
-166.5562	86.3671	-79.4851
-102.0498	48.3029	-92.1576
-100.5591	47.7357	86.064
175.538	158.3537	31.7583
124.6418	44.5042	169.8986
146.373	40.0271	-123.6476
149.6299	41.5853	53.8867
-140.3364	126.1979	-131.961
55.1259	126.5791	-135.6303
171.3059	72.0486	-85.4941
177.5089	92.4671	30.4121
175.9848	91.3637	-148.2325
-31.4515	147.4693	-88.2223
-93.8169	20.9957	74.1413
-103.5502	61.6736	72.3656
41.4963	95.5161	125.0606
-142.5539	107.2672	-155.4042
51.474	78.3892	20.5273
19.6843	99.9333	99.9439
-171.4721	103.5896	-9.4899
-3.3181	82.6686	-123.2468
0.9297	84.2209	51.089
134.8403	67.5227	-103.3507
136.3538	71.0239	75.9961
58.2508	87.7962	-125.2459
61.5244	90.8443	54.7543
162.8623	63.966	-123.676
-163.9643	31.3011	149.7297
-122.4889	72.0498	93.5676
143.1458	81.5919	119.1674
-107.962	102.3218	127.9722
27.6393	30.3449	138.7258
28.217	32.0961	-40.4144
50.3522	103.0809	-5.5154
176.9953	87.275	97.7894
175.9328	89.0496	-81.6494
70.959	91.3793	165.4153
